ID,EPC,VARIANCE,DESCRIPTION,METHOD,BESTIMATE,FASTIMATE
000000F,0,0,few checkers,few checkers,-1.0,-1
000001E,8.17,2.07,few checkers,few checkers,-1.0,-1
000010E,8.17,2.07,few checkers,few checkers,-1.0,-1
000100E,8.17,2.07,few checkers,few checkers,-1.0,-1
001000E,8.62,2.83,few checkers,few checkers,-1.0,-1
010000E,9.3,3.59,few checkers,few checkers,-1.0,-1
100000E,10.21,4.23,few checkers,few checkers,-1.0,-1
000002D,8.17,2.07,few checkers,few checkers,-1.0,-1
000011D,8.17,2.07,few checkers,few checkers,-1.0,-1
000020D,10.44,4.34,few checkers,few checkers,-1.0,-1
000101D,8.62,2.83,few checkers,few checkers,-1.0,-1
000110D,10.66,4.45,few checkers,few checkers,-1.0,-1
000200D,12.48,4.82,few checkers,few checkers,-1.0,-1
001001D,9.75,3.95,few checkers,few checkers,-1.0,-1
001010D,11.12,4.61,few checkers,few checkers,-1.0,-1
001100D,12.5,4.86,few checkers,few checkers,-1.0,-1
002000D,13.96,4.81,few checkers,few checkers,-1.0,-1
010001D,11.12,4.61,few checkers,few checkers,-1.0,-1
010010D,12.05,4.84,few checkers,few checkers,-1.0,-1
010100D,13.26,4.93,few checkers,few checkers,-1.0,-1
011000D,14.37,4.98,few checkers,few checkers,-1.0,-1
020000D,15.64,4.93,few checkers,few checkers,-1.0,-1
100001D,12.96,4.84,few checkers,few checkers,-1.0,-1
100010D,13.49,4.89,few checkers,few checkers,-1.0,-1
100100D,14.32,4.91,few checkers,few checkers,-1.0,-1
101000D,15.11,5.11,few checkers,few checkers,-1.0,-1
110000D,16.01,5.29,few checkers,few checkers,-1.0,-1
200000D,17.23,5.55,few checkers,few checkers,-1.0,-1
000003C,14.97,4.14,few checkers,few checkers,-1.0,-1
000012C,14.97,4.14,few checkers,few checkers,-1.0,-1
000021C,15.2,4,few checkers,few checkers,-1.0,-1
000030C,15.2,4,few checkers,few checkers,-1.0,-1
000102C,15.2,4,few checkers,few checkers,-1.0,-1
000111C,15.2,4,few checkers,few checkers,-1.0,-1
000120C,15.22,4.03,few checkers,few checkers,-1.0,-1
000201C,15.45,3.87,few checkers,few checkers,-1.0,-1
000210C,15.68,4.16,few checkers,few checkers,-1.0,-1
000300C,16.39,4.89,few checkers,few checkers,-1.0,-1
001002C,15.2,4,few checkers,few checkers,-1.0,-1
001011C,15.22,4.03,few checkers,few checkers,-1.0,-1
001020C,15.43,4.29,few checkers,few checkers,-1.0,-1
001101C,15.55,4,few checkers,few checkers,-1.0,-1
001110C,15.82,4.33,few checkers,few checkers,-1.0,-1
001200C,16.49,4.98,few checkers,few checkers,-1.0,-1
002001C,16.4,4.51,few checkers,few checkers,-1.0,-1
002010C,16.57,4.66,few checkers,few checkers,-1.0,-1
002100C,17.33,5.25,few checkers,few checkers,-1.0,-1
003000C,18.52,5.88,few checkers,few checkers,-1.0,-1
010002C,15.45,3.87,few checkers,few checkers,-1.0,-1
010011C,15.63,4.1,few checkers,few checkers,-1.0,-1
010020C,16.26,4.78,few checkers,few checkers,-1.0,-1
010101C,15.76,4.25,few checkers,few checkers,-1.0,-1
010110C,16.16,4.68,few checkers,few checkers,-1.0,-1
010200C,17.22,5.52,few checkers,few checkers,-1.0,-1
011001C,16.34,4.45,few checkers,few checkers,-1.0,-1
011010C,17,5.02,few checkers,few checkers,-1.0,-1
011100C,17.65,5.47,few checkers,few checkers,-1.0,-1
012000C,18.69,6,few checkers,few checkers,-1.0,-1
020001C,17.95,5.25,few checkers,few checkers,-1.0,-1
020010C,18.47,5.53,few checkers,few checkers,-1.0,-1
020100C,19.08,5.8,few checkers,few checkers,-1.0,-1
021000C,19.74,6.09,few checkers,few checkers,-1.0,-1
030000C,21.15,6.39,few checkers,few checkers,-1.0,-1
100002C,15.93,4.44,few checkers,few checkers,-1.0,-1
100011C,15.86,4.37,few checkers,few checkers,-1.0,-1
100020C,17,5.36,few checkers,few checkers,-1.0,-1
100101C,16.14,4.66,few checkers,few checkers,-1.0,-1
100110C,16.99,5.37,few checkers,few checkers,-1.0,-1
100200C,17.91,5.92,few checkers,few checkers,-1.0,-1
101001C,17.14,5.12,few checkers,few checkers,-1.0,-1
101010C,17.66,5.47,few checkers,few checkers,-1.0,-1
101100C,18.4,5.88,few checkers,few checkers,-1.0,-1
102000C,19.6,6.38,few checkers,few checkers,-1.0,-1
110001C,18.01,5.31,few checkers,few checkers,-1.0,-1
110010C,19.02,5.77,few checkers,few checkers,-1.0,-1
110100C,19.4,5.98,few checkers,few checkers,-1.0,-1
111000C,20.31,6.32,few checkers,few checkers,-1.0,-1
120000C,21.45,6.61,few checkers,few checkers,-1.0,-1
200001C,20.06,5.65,few checkers,few checkers,-1.0,-1
200010C,20.63,5.83,few checkers,few checkers,-1.0,-1
200100C,21.06,6.01,few checkers,few checkers,-1.0,-1
201000C,21.81,6.29,few checkers,few checkers,-1.0,-1
210000C,22.47,6.55,few checkers,few checkers,-1.0,-1
300000C,23.79,6.75,few checkers,few checkers,-1.0,-1
000004B,14.97,4.14,few checkers,few checkers,-1.0,-1
000013B,15.2,4,few checkers,few checkers,-1.0,-1
000022B,15.2,4,few checkers,few checkers,-1.0,-1
000031B,15.83,4.74,few checkers,few checkers,-1.0,-1
000040B,18.48,6.42,few checkers,few checkers,-1.0,-1
000103B,15.8,4.31,few checkers,few checkers,-1.0,-1
000112B,15.45,3.87,few checkers,few checkers,-1.0,-1
000121B,16.08,4.6,few checkers,few checkers,-1.0,-1
000130B,18.71,6.2,few checkers,few checkers,-1.0,-1
000202B,17.44,5.64,few checkers,few checkers,-1.0,-1
000211B,16.39,4.89,few checkers,few checkers,-1.0,-1
000220B,18.81,6.23,few checkers,few checkers,-1.0,-1
000301B,18.81,6.23,few checkers,few checkers,-1.0,-1
000310B,19.59,6.44,few checkers,few checkers,-1.0,-1
000400B,21.01,6.65,few checkers,few checkers,-1.0,-1
001003B,16.79,4.84,few checkers,few checkers,-1.0,-1
001012B,16.51,4.61,few checkers,few checkers,-1.0,-1
001021B,17.01,5.01,few checkers,few checkers,-1.0,-1
001030B,19.21,6.04,few checkers,few checkers,-1.0,-1
001102B,17.76,5.49,few checkers,few checkers,-1.0,-1
001111B,16.72,4.79,few checkers,few checkers,-1.0,-1
001120B,19.08,6.02,few checkers,few checkers,-1.0,-1
001201B,19.05,6.01,few checkers,few checkers,-1.0,-1
001210B,19.66,6.19,few checkers,few checkers,-1.0,-1
001300B,21.26,6.38,few checkers,few checkers,-1.0,-1
002002B,19.44,6.09,few checkers,few checkers,-1.0,-1
002011B,18.77,5.92,few checkers,few checkers,-1.0,-1
002020B,20.27,6.26,few checkers,few checkers,-1.0,-1
002101B,19.2,6.09,few checkers,few checkers,-1.0,-1
002110B,19.96,6.36,few checkers,few checkers,-1.0,-1
002200B,21.35,6.56,few checkers,few checkers,-1.0,-1
003001B,21.07,6.43,few checkers,few checkers,-1.0,-1
003010B,21.5,6.55,few checkers,few checkers,-1.0,-1
003100B,22.12,6.83,few checkers,few checkers,-1.0,-1
004000B,23.38,7.19,few checkers,few checkers,-1.0,-1
010003B,18.17,5.35,few checkers,few checkers,-1.0,-1
010012B,17.98,5.25,few checkers,few checkers,-1.0,-1
010021B,18.36,5.43,few checkers,few checkers,-1.0,-1
010030B,20.04,5.94,few checkers,few checkers,-1.0,-1
010102B,19.06,5.68,few checkers,few checkers,-1.0,-1
010111B,18.33,5.43,few checkers,few checkers,-1.0,-1
010120B,19.94,5.91,few checkers,few checkers,-1.0,-1
010201B,19.91,5.9,few checkers,few checkers,-1.0,-1
010210B,20.6,6.03,few checkers,few checkers,-1.0,-1
