Position,EPC,σ(PC),V(R),R-L,L-M,M-H,Description
000000F,0,0,0,-0.01,-0.20,-0.15,Won
000001E,8.17,2.07,0,0.09,-0.04,0.05,Rollish
000002D,8.17,2.07,0,0.09,-0.04,0.05,Rollish
000003C,14.97,4.14,0.14,0.18,0.10,0.22,Rollish
000004B,14.97,4.14,0.14,0.18,0.10,0.22,Rollish
000005A,22,5.07,0.21,0.27,0.24,0.40,Rollish
0000069,22,5.07,0.21,0.27,0.24,0.40,Rollish
0000078,29,5.96,0.3,0.36,0.38,0.58,Rollish
0000087,29,5.96,0.3,0.36,0.38,0.58,Rollish
0000096,36,6.7,0.39,0.45,0.52,0.75,Rollish
00000A5,36,6.7,0.39,0.45,0.52,0.75,Rollish
00000B4,43,7.38,0.48,0.54,0.66,0.93,Rollish
00000C3,43,7.38,0.48,0.54,0.66,0.93,Rollish
00000D2,50,8,0.56,0.63,0.80,1.10,Rollish
00000E1,50,8,0.56,0.63,0.80,1.10,Rollish
00000F0,57,8.57,0.65,0.72,0.94,1.28,Rollish
000010E,8.17,2.07,0,0.09,-0.04,0.05,Rollish
000011D,8.17,2.07,0,0.09,-0.04,0.05,Rollish
000012C,14.97,4.14,0.14,0.18,0.10,0.22,Rollish
000013B,15.2,4,0.12,0.18,0.10,0.23,Rollish
000014A,22,5.07,0.21,0.27,0.24,0.40,Rollish
0000159,22,5.07,0.21,0.27,0.24,0.40,Rollish
0000168,29,5.96,0.3,0.36,0.38,0.58,Rollish
0000177,29.01,5.95,0.3,0.36,0.38,0.58,Rollish
0000186,36,6.7,0.39,0.45,0.52,0.75,Rollish
0000195,36,6.7,0.39,0.45,0.52,0.75,Rollish
00001A4,43,7.38,0.48,0.54,0.66,0.93,Rollish
00001B3,43,7.38,0.48,0.54,0.66,0.93,Rollish
00001C2,50,8,0.56,0.63,0.80,1.10,Rollish
00001D1,50,8,0.56,0.63,0.80,1.10,Rollish
00001E0,57,8.57,0.65,0.72,0.94,1.28,Rollish
000020D,10.44,4.34,0.2,0.12,0.01,0.11,High
000021C,15.2,4,0.12,0.18,0.10,0.23,Rollish
000022B,15.2,4,0.12,0.18,0.10,0.23,Rollish
000023A,22,5.07,0.21,0.27,0.24,0.40,Rollish
0000249,22.13,5.04,0.21,0.27,0.24,0.40,Rollish
0000258,29.01,5.95,0.3,0.36,0.38,0.58,Rollish
0000267,29.01,5.95,0.3,0.36,0.38,0.58,Rollish
0000276,36,6.7,0.39,0.45,0.52,0.75,Rollish
0000285,36.01,6.7,0.39,0.45,0.52,0.75,Rollish
0000294,43,7.38,0.48,0.54,0.66,0.93,Rollish
00002A3,43,7.38,0.48,0.54,0.66,0.93,Rollish
00002B2,50,8,0.56,0.63,0.80,1.10,Rollish
00002C1,50,8,0.56,0.63,0.80,1.10,Rollish
00002D0,57,8.57,0.65,0.72,0.94,1.28,Rollish
000030C,15.2,4,0.12,0.18,0.10,0.23,Rollish
000031B,15.83,4.74,0.21,0.19,0.12,0.25,Medium
000032A,22.13,5.04,0.21,0.27,0.24,0.40,Rollish
0000339,22.39,4.96,0.19,0.28,0.25,0.41,Rollish
0000348,29.01,5.95,0.3,0.36,0.38,0.58,Rollish
0000357,29.06,5.95,0.3,0.36,0.38,0.58,Rollish
0000366,36.01,6.7,0.39,0.45,0.52,0.75,Rollish
0000375,36.02,6.69,0.39,0.45,0.52,0.75,Rollish
0000384,43,7.38,0.48,0.54,0.66,0.93,Rollish
0000393,43,7.38,0.48,0.54,0.66,0.93,Rollish
00003A2,50,8,0.56,0.63,0.80,1.10,Rollish
00003B1,50,8,0.56,0.63,0.80,1.10,Rollish
00003C0,57,8.57,0.65,0.72,0.94,1.28,Rollish
000040B,18.48,6.42,0.47,0.22,0.17,0.31,High
000041A,22.39,4.96,0.19,0.28,0.25,0.41,Rollish
0000429,22.56,5.18,0.22,0.28,0.25,0.41,Rollish
0000438,29.06,5.95,0.3,0.36,0.38,0.58,Rollish
0000447,29.27,5.93,0.3,0.36,0.39,0.58,Rollish
0000456,36.02,6.69,0.39,0.45,0.52,0.75,Rollish
0000465,36.04,6.69,0.39,0.45,0.52,0.75,Rollish
0000474,43,7.38,0.48,0.54,0.66,0.93,Rollish
0000483,43.01,7.37,0.47,0.54,0.66,0.93,Rollish
0000492,50,8,0.56,0.63,0.80,1.10,Rollish
00004A1,50,8,0.56,0.63,0.80,1.10,Rollish
00004B0,57,8.57,0.65,0.72,0.94,1.28,Rollish
000050A,22.56,5.18,0.22,0.28,0.25,0.41,Rollish
0000519,23.67,6.28,0.4,0.29,0.27,0.44,Medium
0000528,29.27,5.93,0.3,0.36,0.39,0.58,Rollish
0000537,29.61,5.88,0.28,0.37,0.39,0.59,Rollish
0000546,36.04,6.69,0.39,0.45,0.52,0.75,Rollish
0000555,36.16,6.71,0.39,0.45,0.52,0.75,Rollish
0000564,43.01,7.37,0.47,0.54,0.66,0.93,Rollish
0000573,43.04,7.35,0.47,0.54,0.66,0.93,Rollish
0000582,50,8,0.56,0.63,0.80,1.10,Rollish
0000591,50.01,7.99,0.56,0.63,0.80,1.10,Rollish
00005A0,57,8.57,0.65,0.72,0.94,1.28,Rollish
0000609,26.61,7.14,0.55,0.33,0.33,0.52,High
0000618,29.61,5.88,0.28,0.37,0.39,0.59,Rollish
0000627,30.01,6.36,0.37,0.37,0.40,0.60,Rollish
0000636,36.16,6.71,0.39,0.45,0.52,0.75,Rollish
0000645,36.47,6.69,0.38,0.46,0.53,0.76,Rollish
0000654,43.04,7.35,0.47,0.54,0.66,0.93,Rollish
0000663,43.09,7.37,0.47,0.54,0.66,0.93,Rollish
0000672,50.01,7.99,0.56,0.63,0.80,1.10,Rollish
0000681,50.03,7.98,0.56,0.63,0.80,1.10,Rollish
0000690,57,8.57,0.65,0.72,0.94,1.28,Rollish
0000708,30.01,6.36,0.37,0.37,0.40,0.60,Rollish
0000717,31.56,7.45,0.58,0.39,0.43,0.64,Medium
0000726,36.47,6.69,0.38,0.46,0.53,0.76,Rollish
0000735,36.88,6.75,0.39,0.46,0.54,0.77,Rollish
0000744,43.09,7.37,0.47,0.54,0.66,0.93,Rollish
0000753,43.29,7.4,0.48,0.54,0.67,0.93,Rollish
0000762,50.03,7.98,0.56,0.63,0.80,1.10,Rollish
0000771,50.07,7.97,0.56,0.63,0.80,1.10,Rollish
0000780,57.01,8.57,0.65,0.72,0.94,1.28,Rollish
0000807,34.48,7.81,0.64,0.43,0.49,0.71,Medium
0000816,36.88,6.75,0.39,0.46,0.54,0.77,Rollish
0000825,37.58,7.42,0.53,0.47,0.55,0.79,Low
0000834,43.29,7.4,0.48,0.54,0.67,0.93,Rollish
0000843,43.69,7.41,0.48,0.55,0.67,0.94,Rollish
0000852,50.07,7.97,0.56,0.63,0.80,1.10,Rollish
0000861,50.18,8,0.56,0.63,0.80,1.10,Rollish
0000870,57.02,8.56,0.65,0.72,0.94,1.28,Rollish
0000906,37.58,7.42,0.53,0.47,0.55,0.79,Low
0000915,39.44,8.37,0.74,0.49,0.59,0.84,Medium
0000924,43.69,7.41,0.48,0.55,0.67,0.94,Rollish
0000933,44.23,7.6,0.52,0.56,0.68,0.96,Rollish
0000942,50.18,8,0.56,0.63,0.80,1.10,Rollish
0000951,50.47,8.04,0.57,0.64,0.81,1.11,Rollish
0000960,57.06,8.55,0.64,0.72,0.94,1.28,Rollish
0000A05,42.22,8.34,0.71,0.53,0.64,0.91,Medium
0000A14,44.23,7.6,0.52,0.56,0.68,0.96,Rollish
0000A23,45.21,8.37,0.69,0.57,0.70,0.98,Low
0000A32,50.47,8.04,0.57,0.64,0.81,1.11,Rollish
0000A41,50.97,8.1,0.58,0.64,0.82,1.12,Rollish
0000A50,57.13,8.55,0.65,0.72,0.94,1.28,Rollish
0000B04,45.21,8.37,0.69,0.57,0.70,0.98,Low
0000B13,47.29,9.1,0.87,0.60,0.75,1.03,Medium
0000B22,50.97,8.1,0.58,0.64,0.82,1.12,Rollish
0000B31,51.65,8.43,0.66,0.65,0.83,1.14,Low
0000B40,57.31,8.6,0.66,0.72,0.95,1.28,Rollish
0000C03,49.87,8.87,0.79,0.63,0.80,1.10,Low
0000C12,51.65,8.43,0.66,0.65,0.83,1.14,Low
0000C21,52.89,9.21,0.86,0.67,0.86,1.17,Medium
0000C30,57.69,8.66,0.67,0.73,0.95,1.29,Rollish
0000D02,52.89,9.21,0.86,0.67,0.86,1.17,Medium
0000D11,55.08,9.72,0.98,0.70,0.90,1.23,Medium
0000D20,58.28,8.78,0.7,0.74,0.97,1.31,Rollish
0000E01,57.47,9.39,0.87,0.73,0.95,1.29,Low
0000E10,59.13,9.22,0.81,0.75,0.98,1.33,Low
0000F00,60.6,9.96,1.01,0.77,1.01,1.37,Low
000100E,8.17,2.07,0,0.09,-0.04,0.05,Rollish
000101D,8.62,2.83,0.05,0.10,-0.03,0.07,Rollish
000102C,15.2,4,0.12,0.18,0.10,0.23,Rollish
000103B,15.8,4.31,0.15,0.19,0.12,0.25,Rollish
000104A,22,5.07,0.21,0.27,0.24,0.40,Rollish
0001059,22.6,5.38,0.26,0.28,0.25,0.42,Rollish
0001068,29.01,5.95,0.3,0.36,0.38,0.58,Rollish
0001077,29.61,6.2,0.34,0.37,0.39,0.59,Rollish
0001086,36,6.7,0.39,0.45,0.52,0.75,Rollish
0001095,36.6,6.93,0.43,0.46,0.53,0.77,Rollish
00010A4,43,7.38,0.48,0.54,0.66,0.93,Rollish
00010B3,43.6,7.58,0.52,0.55,0.67,0.94,Rollish
00010C2,50,8,0.56,0.63,0.80,1.10,Rollish
00010D1,50.6,8.19,0.61,0.64,0.81,1.12,Rollish
00010E0,57,8.57,0.65,0.72,0.94,1.28,Rollish
000110D,10.66,4.45,0.21,0.12,0.01,0.12,High
000111C,15.2,4,0.12,0.18,0.10,0.23,Rollish
000112B,15.45,3.87,0.1,0.19,0.11,0.24,Rollish
000113A,22.03,5.07,0.21,0.27,0.24,0.40,Rollish
0001149,22.36,5,0.2,0.27,0.25,0.41,Rollish
0001158,29.01,5.95,0.3,0.36,0.38,0.58,Rollish
0001167,29.24,5.9,0.29,0.36,0.38,0.58,Rollish
0001176,36,6.7,0.39,0.45,0.52,0.75,Rollish
0001185,36.24,6.66,0.38,0.45,0.52,0.76,Rollish
0001194,43,7.38,0.48,0.54,0.66,0.93,Rollish
00011A3,43.23,7.34,0.47,0.54,0.66,0.93,Rollish
00011B2,50,8,0.56,0.63,0.80,1.10,Rollish
00011C1,50.23,7.97,0.56,0.63,0.80,1.11,Rollish
00011D0,57,8.57,0.65,0.72,0.94,1.28,Rollish
000120C,15.22,4.03,0.12,0.18,0.10,0.23,Rollish
000121B,16.08,4.6,0.19,0.19,0.12,0.25,Rollish
000122A,22.14,5.04,0.21,0.27,0.24,0.40,Rollish
0001239,22.59,4.88,0.18,0.28,0.25,0.41,Rollish
0001248,29.01,5.95,0.3,0.36,0.38,0.58,Rollish
